"OrderNumber","Sales Channel","OrderDate","CustomerID","Unit Price","Final Price"
"SO - 0001098","Wholesale","2018-09-25",30,1675,1340
"SO - 0001099","Online","2018-09-25",3,6150.6,5843.07
"SO - 000110","In-Store","2018-06-01",33,1956.4,1858.58
"SO - 0001100","Online","2018-09-25",43,5306.4,5041.08
"SO - 0001101","Distributor","2018-09-25",3,3758.7,3194.9
"SO - 0001102","Online","2018-09-25",8,2291.4,2119.55
"SO - 0001103","In-Store","2018-09-25",16,5748.6,5317.46
"SO - 0001104","Online","2018-09-25",22,1909.5,1718.55
"SO - 0001105","Online","2018-09-25",22,3892.7,3698.07
"SO - 0001106","Online","2018-09-25",43,1118.9,1034.98
"SO - 0001107","Online","2018-09-25",3,3999.9,3699.91
"SO - 0001108","In-Store","2018-09-26",45,1782.2,1648.54
"SO - 0001109","Distributor","2018-09-26",12,1072,1018.4
"SO - 000111","Distributor","2018-06-01",21,201,180.9
"SO - 0001110","In-Store","2018-09-26",3,917.9,550.74
"SO - 0001111","Distributor","2018-09-26",40,5252.8,4858.84
"SO - 0001112","Distributor","2018-09-26",2,6505.7,6017.77
"SO - 0001113","In-Store","2018-09-26",7,3390.2,3051.18
"SO - 0001114","In-Store","2018-09-26",34,221.1,204.52
"SO - 0001115","Online","2018-09-26",14,3993.2,3793.54
"SO - 0001116","In-Store","2018-09-26",43,2519.2,1511.52
"SO - 0001117","In-Store","2018-09-27",11,3953,3755.35
"SO - 0001118","In-Store","2018-09-27",12,1092.1,873.68
"SO - 0001119","Online","2018-09-27",26,5835.7,4084.99
"SO - 000112","In-Store","2018-06-01",21,6277.9,5336.22
"SO - 0001120","In-Store","2018-09-27",31,1701.8,1616.71
"SO - 0001121","Wholesale","2018-09-27",31,6117.1,5199.54
"SO - 0001122","In-Store","2018-09-27",6,1829.1,1691.92
"SO - 0001123","In-Store","2018-09-27",48,3932.9,3637.93
"SO - 0001124","Online","2018-09-27",20,1695.1,1610.35
"SO - 0001125","Online","2018-09-27",18,180.9,144.72
"SO - 0001126","In-Store","2018-09-28",2,877.7,746.05
"SO - 0001127","In-Store","2018-09-28",45,2646.5,2249.53
"SO - 0001128","In-Store","2018-09-28",25,5132.2,4875.59
"SO - 0001129","Online","2018-09-28",21,5112.1,3067.26
"SO - 000113","In-Store","2018-06-01",36,1051.9,999.31
"SO - 0001130","In-Store","2018-09-28",47,1065.3,1012.04
"SO - 0001131","Online","2018-09-28",13,3269.6,2779.16
"SO - 0001132","In-Store","2018-09-28",28,6070.2,5614.94
"SO - 0001133","Online","2018-09-28",3,1279.7,1023.76
"SO - 0001134","In-Store","2018-09-28",41,3061.9,2908.81
"SO - 0001135","In-Store","2018-09-28",24,2646.5,2514.18
"SO - 0001136","Distributor","2018-09-29",28,5232.7,4840.25
"SO - 0001137","Online","2018-09-29",19,3986.5,3388.53
"SO - 0001138","Online","2018-09-29",8,247.9,223.11
"SO - 0001139","Distributor","2018-09-29",37,221.1,187.94
"SO - 000114","In-Store","2018-06-01",17,254.6,216.41
"SO - 0001140","Distributor","2018-09-29",12,1118.9,1007.01
"SO - 0001141","In-Store","2018-09-29",11,5433.7,5162.02
"SO - 0001142","In-Store","2018-09-29",17,3028.4,2801.27
"SO - 0001143","Online","2018-09-29",22,3892.7,3308.8
"SO - 0001144","In-Store","2018-09-29",38,2579.5,2192.58
"SO - 0001145","Wholesale","2018-09-29",6,1809,1718.55
"SO - 0001146","Online","2018-09-30",22,5118.8,4734.89
"SO - 0001147","Online","2018-09-30",42,978.2,880.38
"SO - 0001148","In-Store","2018-09-30",29,770.5,731.98
"SO - 0001149","In-Store","2018-09-30",39,1085.4,1004
"SO - 000115","In-Store","2018-06-01",32,3932.9,3342.97
"SO - 0001150","In-Store","2018-09-30",15,1989.9,1890.41
"SO - 0001151","In-Store","2018-09-30",4,2907.8,2762.41
"SO - 0001152","Wholesale","2018-09-30",32,1165.8,1078.37
"SO - 0001153","Online","2018-09-30",26,5715.1,5286.47
"SO - 0001154","Online","2018-09-30",35,1695.1,1525.59
"SO - 0001155","Distributor","2018-10-01",18,1038.5,830.8
"SO - 0001156","In-Store","2018-10-01",32,5788.8,5499.36
"SO - 0001157","Online","2018-10-01",9,2237.8,1902.13
"SO - 0001158","Wholesale","2018-10-01",46,1132.3,962.46
"SO - 0001159","In-Store","2018-10-01",19,891.1,846.55
"SO - 000116","In-Store","2018-06-01",11,1112.2,1056.59
"SO - 0001160","Online","2018-10-01",41,3819,3628.05
"SO - 0001161","Distributor","2018-10-02",9,1232.8,1047.88
"SO - 0001162","Online","2018-10-02",25,6331.5,5856.64
"SO - 0001163","Online","2018-10-02",2,917.9,826.11
"SO - 0001164","Online","2018-10-02",38,1333.3,1266.64
"SO - 0001165","Online","2018-10-02",43,5467.2,4647.12
"SO - 0001166","Online","2018-10-02",15,5896,5306.4
"SO - 0001167","In-Store","2018-10-02",22,1809,1447.2
"SO - 0001168","Online","2018-10-02",26,1112.2,1028.79
"SO - 0001169","Distributor","2018-10-03",1,2546,2418.7
"SO - 000117","In-Store","2018-06-01",10,1239.5,1146.54
"SO - 0001170","In-Store","2018-10-03",34,1139,1082.05
"SO - 0001171","In-Store","2018-10-03",49,3872.6,3678.97
"SO - 0001172","Online","2018-10-03",5,1326.6,1127.61
"SO - 0001173","Distributor","2018-10-03",40,2525.9,2273.31
"SO - 0001174","Online","2018-10-03",3,924.6,785.91
"SO - 0001175","Distributor","2018-10-03",49,261.3,248.24
"SO - 0001176","Online","2018-10-04",50,234.5,211.05
"SO - 0001177","Distributor","2018-10-04",35,5775.4,5486.63
"SO - 0001178","Online","2018-10-04",35,3852.5,3659.88
"SO - 0001179","Online","2018-10-04",9,1045.2,992.94
"SO - 000118","In-Store","2018-06-01",30,984.9,886.41
"SO - 0001180","Wholesale","2018-10-04",9,864.3,734.66
"SO - 0001181","In-Store","2018-10-04",49,2559.4,2431.43
"SO - 0001182","In-Store","2018-10-05",35,1922.9,1730.61
"SO - 0001183","In-Store","2018-10-05",45,3979.8,3681.32
"SO - 0001184","In-Store","2018-10-05",7,917.9,826.11
"SO - 0001185","In-Store","2018-10-05",8,3671.6,3396.23
"SO - 0001186","Online","2018-10-05",14,1018.4,814.72
"SO - 0001187","Wholesale","2018-10-06",2,1051.9,894.12
"SO - 0001188","Online","2018-10-06",17,1025.1,717.57
"SO - 0001189","Wholesale","2018-10-06",46,194.3,184.59
"SO - 000119","In-Store","2018-06-01",5,5581.1,5022.99
"SO - 0001190","In-Store","2018-10-06",12,3993.2,3693.71
"SO - 0001191","In-Store","2018-10-06",36,5567.7,5289.32
"SO - 0001192","In-Store","2018-10-06",42,1065.3,1012.04
"SO - 0001193","Online","2018-10-06",5,1072,991.6
"SO - 0001194","Wholesale","2018-10-06",41,214.4,192.96
"SO - 0001195","In-Store","2018-10-07",41,5112.1,4600.89
"SO - 0001196","In-Store","2018-10-07",11,904.5,814.05
"SO - 0001197","Wholesale","2018-10-07",6,2324.9,1976.17
"SO - 0001198","In-Store","2018-10-07",32,3993.2,3693.71
"SO - 0001199","Online","2018-10-07",4,1025.1,871.34
"SO - 000120","Online","2018-06-01",23,3095.4,2940.63
"SO - 0001200","In-Store","2018-10-07",32,1306.5,1241.18
"SO - 0001201","In-Store","2018-10-07",24,254.6,229.14
"SO - 0001202","Online","2018-10-07",48,1896.1,1801.3
"SO - 0001203","In-Store","2018-10-08",10,1058.6,979.21
"SO - 0001204","Wholesale","2018-10-08",15,4020,3819
"SO - 0001205","In-Store","2018-10-08",31,2003.3,1602.64
"SO - 0001206","In-Store","2018-10-08",13,5165.7,4778.27
"SO - 0001207","Online","2018-10-08",16,5145.6,3601.92
"SO - 0001208","Online","2018-10-08",5,1936.3,1549.04
"SO - 0001209","Wholesale","2018-10-09",1,174.2,161.14
"SO - 000121","Wholesale","2018-06-01",46,2278,1366.8
"SO - 0001210","Distributor","2018-10-09",48,1728.6,1642.17
"SO - 0001211","In-Store","2018-10-09",37,1809,1537.65
"SO - 0001212","In-Store","2018-10-09",22,3517.5,3253.69
"SO - 0001213","In-Store","2018-10-09",23,2659.9,2460.41
"SO - 0001214","Online","2018-10-09",24,2351.7,2116.53
"SO - 0001215","In-Store","2018-10-10",43,180.9,167.33
"SO - 0001216","Distributor","2018-10-10",21,1118.9,1034.98
"SO - 0001217","In-Store","2018-10-10",36,2010,1708.5
"SO - 0001218","Wholesale","2018-10-10",19,1206,1145.7
"SO - 0001219","Distributor","2018-10-10",20,180.9,171.86
"SO - 000122","In-Store","2018-06-02",14,991.6,917.23
"SO - 0001220","In-Store","2018-10-11",12,3886,3594.55
"SO - 0001221","Online","2018-10-11",12,6505.7,6017.77
"SO - 0001222","Online","2018-10-11",4,1051.9,999.31
"SO - 0001223","In-Store","2018-10-11",40,1092.1,1037.5
"SO - 0001224","In-Store","2018-10-11",42,2492.4,2118.54
"SO - 0001225","Distributor","2018-10-11",17,3892.7,3600.75
"SO - 0001226","Distributor","2018-10-12",21,2505.8,1503.48
"SO - 0001227","Wholesale","2018-10-12",50,824.1,741.69
"SO - 0001228","Distributor","2018-10-12",35,690.1,655.6
"SO - 0001229","In-Store","2018-10-12",25,2365.1,1892.08
"SO - 000123","In-Store","2018-06-02",40,3979.8,3183.84
"SO - 0001230","In-Store","2018-10-12",42,1072,750.4
"SO - 0001231","Online","2018-10-12",17,1065.3,985.4
"SO - 0001232","Online","2018-10-12",8,2586.2,2327.58
"SO - 0001233","In-Store","2018-10-13",46,207.7,197.32
"SO - 0001234","Online","2018-10-13",26,4006.6,3706.11
"SO - 0001235","In-Store","2018-10-13",40,2331.6,1981.86
"SO - 0001236","Distributor","2018-10-13",31,1018.4,712.88
"SO - 0001237","Online","2018-10-13",18,5628,4502.4
"SO - 0001238","Distributor","2018-10-13",49,2546,2036.8
"SO - 0001239","Online","2018-10-13",19,857.6,793.28
"SO - 000124","Distributor","2018-06-02",19,1969.8,1181.88
"SO - 0001240","In-Store","2018-10-14",16,3906.1,3613.14
"SO - 0001241","In-Store","2018-10-14",11,1005,954.75
"SO - 0001242","Distributor","2018-10-14",39,844.2,801.99
"SO - 0001243","Distributor","2018-10-14",45,1031.8,954.42
"SO - 0001244","In-Store","2018-10-15",6,924.6,878.37
"SO - 0001245","In-Store","2018-10-15",46,1072,991.6
"SO - 0001246","Wholesale","2018-10-15",32,261.3,222.11
"SO - 0001247","Online","2018-10-15",45,1065.3,1012.04
"SO - 0001248","In-Store","2018-10-15",38,1929.6,1640.16
"SO - 0001249","Online","2018-10-15",17,5460.5,4914.45
"SO - 000125","In-Store","2018-06-02",15,268,227.8
"SO - 0001250","Distributor","2018-10-15",27,1815.7,1724.92
"SO - 0001251","Online","2018-10-15",42,944.7,755.76
"SO - 0001252","In-Store","2018-10-15",8,850.9,808.36
"SO - 0001253","Online","2018-10-15",40,207.7,192.12
"SO - 0001254","Online","2018-10-15",22,1916.2,1724.58
"SO - 0001255","Online","2018-10-16",28,1889.4,1700.46
"SO - 0001256","In-Store","2018-10-16",4,241.2,223.11
"SO - 0001257","Distributor","2018-10-16",3,6016.6,5565.36
"SO - 0001258","Distributor","2018-10-16",42,1072,991.6
"SO - 0001259","In-Store","2018-10-16",50,3825.7,3251.85
"SO - 000126","Online","2018-06-02",46,174.2,156.78
"SO - 0001260","In-Store","2018-10-17",1,2814,2673.3
"SO - 0001261","In-Store","2018-10-17",33,2619.7,2488.72
"SO - 0001262","Wholesale","2018-10-17",48,1118.9,783.23
"SO - 0001263","In-Store","2018-10-17",7,1072,1018.4
"SO - 0001264","In-Store","2018-10-17",20,3946.3,3748.99
"SO - 0001265","In-Store","2018-10-17",25,241.2,229.14
"SO - 0001266","Online","2018-10-18",46,241.2,229.14
"SO - 0001267","Online","2018-10-18",9,1005,603
"SO - 0001268","Online","2018-10-18",42,234.5,211.05
"SO - 0001269","In-Store","2018-10-18",33,904.5,768.83
"SO - 000127","In-Store","2018-06-02",32,2988.2,2764.09
"SO - 0001270","In-Store","2018-10-18",12,1085.4,922.59
"SO - 0001271","In-Store","2018-10-18",3,1018.4,865.64
"SO - 0001272","In-Store","2018-10-18",46,261.3,222.11
"SO - 0001273","Online","2018-10-18",25,3939.6,3644.13
"SO - 0001274","Online","2018-10-18",34,6117.1,5658.32
"SO - 0001275","Online","2018-10-18",4,1775.5,1686.73
"SO - 0001276","In-Store","2018-10-18",1,1005,929.63
"SO - 0001277","Online","2018-10-19",48,1159.1,1101.15
"SO - 0001278","In-Store","2018-10-19",11,241.2,223.11
"SO - 0001279","Distributor","2018-10-19",45,5936.2,5639.39
"SO - 000128","In-Store","2018-06-02",32,3999.9,3799.91
"SO - 0001280","Online","2018-10-19",23,931.3,861.45
"SO - 0001281","In-Store","2018-10-19",9,1299.8,1234.81
"SO - 0001282","In-Store","2018-10-19",15,5373.4,5104.73
"SO - 0001283","Distributor","2018-10-19",38,2224.4,1557.08
"SO - 0001284","In-Store","2018-10-20",43,2673.3,2472.8
"SO - 0001285","Distributor","2018-10-20",13,3999.9,3599.91
"SO - 0001286","Online","2018-10-20",18,3845.8,3653.51
"SO - 0001287","Online","2018-10-20",44,2311.5,1964.78
"SO - 0001288","In-Store","2018-10-20",43,1112.2,945.37
"SO - 0001289","Online","2018-10-20",21,1031.8,980.21
"SO - 000129","Distributor","2018-06-02",22,5976.4,5677.58
"SO - 0001290","In-Store","2018-10-20",30,891.1,623.77
"SO - 0001291","In-Store","2018-10-20",10,6103.7,5493.33
"SO - 0001292","Online","2018-10-21",48,5547.6,4992.84
"SO - 0001293","Online","2018-10-21",13,683.4,649.23
"SO - 0001294","In-Store","2018-10-21",1,5058.5,4299.73
"SO - 0001295","Online","2018-10-21",17,2485.7,2299.27
"SO - 0001296","Wholesale","2018-10-21",31,6056.8,5602.54
"SO - 0001297","Distributor","2018-10-21",19,3819,3437.1
"SO - 0001298","In-Store","2018-10-21",33,951.4,856.26
"SO - 0001299","Wholesale","2018-10-21",38,1172.5,938
"SO - 000130","In-Store","2018-06-02",5,2901.1,2610.99
"SO - 0001300","In-Store","2018-10-21",36,2586.2,2456.89
"SO - 0001301","Wholesale","2018-10-22",10,234.5,199.33
"SO - 0001302","In-Store","2018-10-22",3,1192.6,1103.16
"SO - 0001303","Wholesale","2018-10-22",13,3249.5,2762.08
"SO - 0001304","Online","2018-10-22",10,5607.9,3925.53
"SO - 0001305","In-Store","2018-10-22",49,1098.8,988.92
"SO - 0001306","Distributor","2018-10-22",9,1936.3,1742.67
"SO - 0001307","Online","2018-10-22",33,6371.7,5734.53
"SO - 0001308","In-Store","2018-10-22",46,897.8,830.47
"SO - 0001309","Online","2018-10-22",14,837.5,502.5
"SO - 000131","In-Store","2018-06-03",29,6076.9,5621.13
"SO - 0001310","Online","2018-10-22",13,737,681.73
"SO - 0001311","In-Store","2018-10-23",39,180.9,171.86
"SO - 0001312","In-Store","2018-10-23",38,3463.9,3290.71
"SO - 0001313","In-Store","2018-10-23",20,180.9,167.33
"SO - 0001314","Online","2018-10-23",8,971.5,898.64
"SO - 0001315","Online","2018-10-24",29,2472.3,2348.69
"SO - 0001316","In-Store","2018-10-24",7,2385.2,2265.94
"SO - 0001317","Online","2018-10-24",14,227.8,193.63
"SO - 0001318","Distributor","2018-10-24",43,1983.2,1884.04
"SO - 0001319","In-Store","2018-10-24",34,3973.1,3774.45
"SO - 000132","Online","2018-06-03",35,5735.2,4588.16
"SO - 0001320","In-Store","2018-10-24",24,3926.2,3140.96
"SO - 0001321","Wholesale","2018-10-24",29,2412,2231.1
"SO - 0001322","In-Store","2018-10-24",12,207.7,186.93
"SO - 0001323","In-Store","2018-10-24",1,3155.7,2919.02
"SO - 0001324","In-Store","2018-10-25",13,991.6,793.28
"SO - 0001325","In-Store","2018-10-25",48,1185.9,1096.96
"SO - 0001326","In-Store","2018-10-25",3,201,190.95
"SO - 0001327","Distributor","2018-10-25",43,1159.1,1043.19
"SO - 0001328","In-Store","2018-10-25",5,2653.2,1857.24
"SO - 0001329","Online","2018-10-25",37,3932.9,3146.32
"SO - 000133","Online","2018-06-03",46,3919.5,3527.55
"SO - 0001330","Distributor","2018-10-25",14,2680,2479
"SO - 0001331","In-Store","2018-10-25",46,2385.2,2206.31
"SO - 0001332","In-Store","2018-10-25",3,1949.7,1852.22
"SO - 0001333","Online","2018-10-25",30,1139,1082.05
"SO - 0001334","In-Store","2018-10-25",25,2646.5,2249.53
"SO - 0001335","In-Store","2018-10-26",44,221.1,198.99
"SO - 0001336","In-Store","2018-10-26",23,1025.1,922.59
"SO - 0001337","Distributor","2018-10-26",42,268,247.9
"SO - 0001338","Online","2018-10-26",42,1098.8,659.28
"SO - 0001339","In-Store","2018-10-26",4,2653.2,2255.22
"SO - 000134","Online","2018-06-03",42,6083.6,5779.42
"SO - 0001340","Distributor","2018-10-26",30,2237.8,2069.97
"SO - 0001341","In-Store","2018-10-27",26,1922.9,1826.76
"SO - 0001342","Online","2018-10-27",40,5380.1,5111.1
"SO - 0001343","Online","2018-10-27",22,1078.7,1024.77
"SO - 0001344","Online","2018-10-27",49,2271.3,2044.17
"SO - 0001345","Online","2018-10-27",8,5473.9,4652.82
"SO - 0001346","In-Store","2018-10-27",34,2371.8,2193.92
"SO - 0001347","In-Store","2018-10-27",35,877.7,811.87
"SO - 0001348","Online","2018-10-27",37,1688.4,1350.72
"SO - 0001349","Online","2018-10-27",25,1246.2,1152.74
"SO - 000135","Wholesale","2018-06-03",2,2566.1,2373.64
"SO - 0001350","Distributor","2018-10-28",50,187.6,168.84
"SO - 0001351","In-Store","2018-10-28",43,1018.4,967.48
"SO - 0001352","Online","2018-10-28",9,1721.9,1592.76
"SO - 0001353","In-Store","2018-10-28",34,3082,2850.85
"SO - 0001354","Distributor","2018-10-28",14,2010,1809
"SO - 0001355","Online","2018-10-29",44,3946.3,3354.36
"SO - 0001356","In-Store","2018-10-29",37,2633.1,2435.62
"SO - 0001357","In-Store","2018-10-29",20,2894.4,2604.96
"SO - 0001358","Distributor","2018-10-29",5,871,805.68
"SO - 0001359","In-Store","2018-10-29",31,1118.9,1062.96
"SO - 000136","Distributor","2018-06-03",28,2278,2107.15
"SO - 0001360","Distributor","2018-10-29",6,3048.5,2591.23
"SO - 0001361","Online","2018-10-29",34,3276.3,2948.67
"SO - 0001362","Online","2018-10-29",16,1132.3,905.84
"SO - 0001363","Online","2018-10-29",5,964.8,892.44
"SO - 0001364","In-Store","2018-10-29",32,268,227.8
"SO - 0001365","Distributor","2018-10-29",28,978.2,782.56
"SO - 0001366","Online","2018-10-29",29,3872.6,3098.08
"SO - 0001367","Online","2018-10-30",43,2954.7,2363.76
"SO - 0001368","Online","2018-10-30",47,2418.7,2176.83
"SO - 0001369","Wholesale","2018-10-30",11,2217.7,1885.05
"SO - 000137","In-Store","2018-06-03",46,261.3,241.7
"SO - 0001370","Wholesale","2018-10-30",8,3564.4,3207.96
"SO - 0001371","Distributor","2018-10-31",36,1835.8,1652.22
"SO - 0001372","Online","2018-10-31",41,2626.4,2101.12
"SO - 0001373","Online","2018-10-31",17,2532.6,2342.66
"SO - 0001374","In-Store","2018-10-31",43,2391.9,1674.33
"SO - 0001375","In-Store","2018-10-31",39,817.4,735.66
"SO - 0001376","Distributor","2018-10-31",20,3939.6,3348.66
"SO - 0001377","In-Store","2018-10-31",30,3182.5,2943.81
"SO - 0001378","Online","2018-10-31",19,1728.6,1555.74
"SO - 0001379","Distributor","2018-10-31",27,2680,2278
"SO - 000138","Online","2018-06-03",22,998.3,948.39
"SO - 0001380","Distributor","2018-10-31",24,991.6,793.28
"SO - 0001381","In-Store","2018-10-31",30,254.6,229.14
"SO - 0001382","In-Store","2018-10-31",39,3899.4,3314.49
"SO - 0001383","Online","2018-11-01",17,3966.4,3768.08
"SO - 0001384","In-Store","2018-11-01",14,1299.8,1234.81
"SO - 0001385","In-Store","2018-11-01",44,3805.6,3615.32
"SO - 0001386","Wholesale","2018-11-01",13,1045.2,940.68
"SO - 0001387","Online","2018-11-01",8,3021.7,2568.45
"SO - 0001388","Online","2018-11-01",9,261.3,241.7
"SO - 0001389","Distributor","2018-11-01",13,6505.7,5855.13
"SO - 000139","In-Store","2018-06-03",34,3497.4,2797.92
"SO - 0001390","Online","2018-11-01",9,1835.8,1744.01
"SO - 0001391","In-Store","2018-11-01",27,3912.8,3521.52
"SO - 0001392","In-Store","2018-11-01",49,2505.8,2255.22
"SO - 0001393","In-Store","2018-11-01",20,857.6,771.84
"SO - 0001394","In-Store","2018-11-01",15,964.8,675.36
"SO - 0001395","In-Store","2018-11-01",34,5695,3417
"SO - 0001396","Distributor","2018-11-02",12,1005,929.63
"SO - 0001397","Distributor","2018-11-02",35,2338.3,2221.39
"SO - 0001398","In-Store","2018-11-02",17,1011.7,910.53
"SO - 0001399","In-Store","2018-11-02",3,857.6,728.96
"SO - 000140","In-Store","2018-06-03",26,1132.3,1075.69
"SO - 0001400","Online","2018-11-02",48,221.1,198.99
